algorithm	num_episodes	num_labels	num_trials	random_seed	target_color	target_color_hex	color_sequence_type	num_neighbors	_hostname	_pwd	_username	_start_time	_end_time	answer	num_fallbacks	runtime	total_episodes
brute-force	1000	10	0	0.6089990701367864	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:46:39.791683	2017-06-19 15:46:40.856389	#D06E96	0	0.5102360248565674	995
exact-heuristic	1000	10	0	0.6089990701367864	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:46:40.856567	2017-06-19 15:46:41.906920	#D06E96	1	0.5146129131317139	995
brute-force	1000	10	1	0.6089990701367864	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:46:41.907066	2017-06-19 15:46:42.915338	#D06E96	0	0.4835779666900635	995
exact-heuristic	1000	10	1	0.6089990701367864	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:46:42.915505	2017-06-19 15:46:43.969704	#D06E96	1	0.5115768909454346	995
brute-force	1000	10	2	0.6089990701367864	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:46:43.969878	2017-06-19 15:46:44.987491	#D06E96	0	0.47358083724975586	995
exact-heuristic	1000	10	2	0.6089990701367864	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:46:44.987659	2017-06-19 15:46:46.045767	#D06E96	1	0.5182650089263916	995
brute-force	1000	10	3	0.6089990701367864	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:46:46.045940	2017-06-19 15:46:47.066490	#D06E96	0	0.47833704948425293	995
exact-heuristic	1000	10	3	0.6089990701367864	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:46:47.066661	2017-06-19 15:46:48.111066	#D06E96	1	0.4979071617126465	995
brute-force	1000	10	4	0.6089990701367864	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:46:48.111221	2017-06-19 15:46:49.126175	#D06E96	0	0.4792630672454834	995
exact-heuristic	1000	10	4	0.6089990701367864	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:46:49.126323	2017-06-19 15:46:50.166659	#D06E96	1	0.48021793365478516	995
brute-force	1000	10	5	0.6089990701367864	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:46:50.166834	2017-06-19 15:46:51.184320	#D06E96	0	0.4885709285736084	995
exact-heuristic	1000	10	5	0.6089990701367864	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:46:51.184490	2017-06-19 15:46:52.232352	#D06E96	1	0.4940171241760254	995
brute-force	1000	10	0	0.4979078532072325	#CD6D8F	#CD6D8F	random	1	Chloes-MacBook-Pro-4.local	/Users/chloerainezeller/Desktop/Research/rdfwrap	chloerainezeller	2017-06-19 15:46:52.232503	2017-06-19 15:46:53.241544	#D1608A	0	0.4938821792602539	1000
