algorithm,num_episodes,num_labels,random_seed_index,target_color,random_seed,target_color_hex,color_sequence_type,num_neighbors,_hostname,_pwd,_username,_start_time,_end_time,answer,num_fallbacks,runtime,total_episodes
brute-force,1000,10,3,#CD6D8F,0.23720547482319754,#CD6D8F,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:12.295575,2017-06-23 22:32:13.230701,#D16C94,0,0.4440767765045166,1000
exact-heuristic,1000,10,3,#CD6D8F,0.23720547482319754,#CD6D8F,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:13.249705,2017-06-23 22:32:13.787663,#D16C94,0,0.051813602447509766,121
brute-force,1000,10,3,#74B32E,0.23720547482319754,#74B32E,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:13.789451,2017-06-23 22:32:14.662994,#73B726,0,0.4000742435455322,1000
exact-heuristic,1000,10,3,#74B32E,0.23720547482319754,#74B32E,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:14.665004,2017-06-23 22:32:15.162214,#73B726,0,0.0476841926574707,112
brute-force,1000,10,3,#06FDA3,0.23720547482319754,#06FDA3,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:15.164183,2017-06-23 22:32:16.027448,#0BE9A7,0,0.3944699764251709,1000
exact-heuristic,1000,10,3,#06FDA3,0.23720547482319754,#06FDA3,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:16.029522,2017-06-23 22:32:16.507572,#0BE9A7,0,0.026987552642822266,64
brute-force,1000,10,3,#F71976,0.23720547482319754,#F71976,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:16.509505,2017-06-23 22:32:17.368199,#EF106C,0,0.39141154289245605,1000
exact-heuristic,1000,10,3,#F71976,0.23720547482319754,#F71976,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:17.370122,2017-06-23 22:32:17.841969,#EF106C,0,0.021640539169311523,52
brute-force,1000,10,3,#BCB249,0.23720547482319754,#BCB249,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:17.843910,2017-06-23 22:32:18.714749,#BBB23B,0,0.3990330696105957,1000
exact-heuristic,1000,10,3,#BCB249,0.23720547482319754,#BCB249,random,0,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-06-23 22:32:18.716566,2017-06-23 22:32:19.214547,#B3AF50,0,0.04724311828613281,112
