algorithm,num_episodes,num_labels,num_neighbors,random_seed_index,target_color,random_seed,target_color_hex,color_sequence_type,_hostname,_pwd,_username,_start_time,_end_time,answer,answer_episode,num_fallbacks,runtime,total_episodes
brute-force,1000,10,0,1,#CD6D8F,0.27741150101170864,#CD6D8F,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:10:59.611926,2017-07-21 18:11:00.520012,#D27495,102,0,0.41996192932128906,1000
exact-heuristic,1000,10,0,1,#CD6D8F,0.27741150101170864,#CD6D8F,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:00.535644,2017-07-21 18:11:01.059956,#D27495,102,0,0.05354046821594238,121
neighbor-heuristic,1000,10,1,1,#CD6D8F,0.27741150101170864,#CD6D8F,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:01.061752,2017-07-21 18:11:01.606258,#D27495,102,0,0.05409646034240723,121
neighbor-heuristic,1000,10,2,1,#CD6D8F,0.27741150101170864,#CD6D8F,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:01.607812,2017-07-21 18:11:02.135611,#D27495,102,0,0.05428576469421387,121
neighbor-heuristic,1000,10,3,1,#CD6D8F,0.27741150101170864,#CD6D8F,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:02.137160,2017-07-21 18:11:02.680767,#D27495,102,0,0.053955078125,121
brute-force,1000,10,0,1,#74B32E,0.27741150101170864,#74B32E,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:02.682305,2017-07-21 18:11:03.571641,#79B736,645,0,0.4186520576477051,1000
exact-heuristic,1000,10,0,1,#74B32E,0.27741150101170864,#74B32E,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:03.573365,2017-07-21 18:11:04.104180,#79B736,645,0,0.04062294960021973,91
neighbor-heuristic,1000,10,1,1,#74B32E,0.27741150101170864,#74B32E,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:04.105946,2017-07-21 18:11:04.611668,#79B736,645,0,0.040262460708618164,91
neighbor-heuristic,1000,10,2,1,#74B32E,0.27741150101170864,#74B32E,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:04.613211,2017-07-21 18:11:05.127596,#79B736,645,0,0.04027962684631348,91
neighbor-heuristic,1000,10,3,1,#74B32E,0.27741150101170864,#74B32E,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 18:11:05.129208,2017-07-21 18:11:05.664089,#79B736,645,0,0.04051995277404785,91
