algorithm,always_use_neighbors,num_episodes,num_labels,num_neighbors,random_seed_index,target_color,trial,random_seed,target_label,target_label_index,color_sequence_type,_hostname,_pwd,_username,_start_time,_end_time,answer,answer_episode,changes,num_fallbacks,runtime,total_episodes
brute-force,True,1000,20,0,3,#CD6D8F,0,0.1717978382015274,pink,3,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:50:45.609282,2017-07-24 16:50:46.479383,#E46E93,729,"[[0, 20]]",0,0.3959794044494629,1000
exact-heuristic,True,1000,20,0,3,#CD6D8F,0,0.1717978382015274,pink,3,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:50:46.483472,2017-07-24 16:50:46.969182,#E46E93,729,"[[0, 20]]",0,0.024114370346069336,58
neighbor-heuristic,True,1000,20,2,3,#CD6D8F,0,0.1717978382015274,pink,3,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:50:46.971895,2017-07-24 16:50:47.507288,#E46E93,729,"[[0, 20]]",1,0.049956560134887695,119
neighbor-heuristic,False,1000,20,2,3,#CD6D8F,0,0.1717978382015274,pink,3,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:50:47.509354,2017-07-24 16:50:47.997722,#E46E93,729,"[[0, 20]]",0,0.024337053298950195,58
neighbor-heuristic,True,1000,20,5,3,#CD6D8F,0,0.1717978382015274,pink,3,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:50:47.999593,2017-07-24 16:50:48.597821,#E46E93,729,"[[0, 20]]",1,0.11007189750671387,259
neighbor-heuristic,False,1000,20,5,3,#CD6D8F,0,0.1717978382015274,pink,3,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:50:48.600002,2017-07-24 16:50:49.099361,#E46E93,729,"[[0, 20]]",0,0.02572774887084961,58
neighbor-heuristic,True,1000,20,10,3,#CD6D8F,0,0.1717978382015274,pink,3,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:50:49.101382,2017-07-24 16:50:49.905743,#E46E93,729,"[[0, 20]]",1,0.30338215827941895,630
neighbor-heuristic,False,1000,20,10,3,#CD6D8F,0,0.1717978382015274,pink,3,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:50:49.907835,2017-07-24 16:50:50.403317,#E46E93,729,"[[0, 20]]",0,0.024075031280517578,58
brute-force,True,1000,20,0,3,#74B32E,0,0.1717978382015274,lime green,15,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:50:50.405373,2017-07-24 16:50:51.256688,#78D229,607,"[[0, 20]]",0,0.3898491859436035,1000
exact-heuristic,True,1000,20,0,3,#74B32E,0,0.1717978382015274,lime green,15,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:50:51.259346,2017-07-24 16:50:51.762040,#78D229,607,"[[0, 20]]",0,0.016753673553466797,40
neighbor-heuristic,True,1000,20,2,3,#74B32E,0,0.1717978382015274,lime green,15,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:50:51.764805,2017-07-24 16:50:52.301031,#78D229,607,"[[0, 20]]",1,0.07359194755554199,174
neighbor-heuristic,False,1000,20,2,3,#74B32E,0,0.1717978382015274,lime green,15,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:50:52.302977,2017-07-24 16:50:52.805864,#78D229,607,"[[0, 20]]",0,0.016666889190673828,40
neighbor-heuristic,True,1000,20,5,3,#74B32E,0,0.1717978382015274,lime green,15,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:50:52.807820,2017-07-24 16:50:53.449087,#78D229,607,"[[0, 20]]",1,0.16892337799072266,403
neighbor-heuristic,False,1000,20,5,3,#74B32E,0,0.1717978382015274,lime green,15,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:50:53.451110,2017-07-24 16:50:53.937397,#78D229,607,"[[0, 20]]",0,0.016776561737060547,40
neighbor-heuristic,True,1000,20,10,3,#74B32E,0,0.1717978382015274,lime green,15,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:50:53.939589,2017-07-24 16:50:54.672005,#78D229,607,"[[0, 20]]",1,0.23512673377990723,563
neighbor-heuristic,False,1000,20,10,3,#74B32E,0,0.1717978382015274,lime green,15,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:50:54.686284,2017-07-24 16:50:55.169068,#78D229,607,"[[0, 20]]",0,0.016761064529418945,40
brute-force,True,1000,20,0,3,#06FDA3,0,0.1717978382015274,turquoise,17,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:50:55.171012,2017-07-24 16:50:56.047384,#0CFEB2,746,"[[0, 20]]",0,0.39499378204345703,1000
exact-heuristic,True,1000,20,0,3,#06FDA3,0,0.1717978382015274,turquoise,17,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:50:56.050162,2017-07-24 16:50:56.514581,#0CFEB2,746,"[[0, 20]]",0,0.007124662399291992,17
neighbor-heuristic,True,1000,20,2,3,#06FDA3,0,0.1717978382015274,turquoise,17,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:50:56.517345,2017-07-24 16:50:57.040050,#0CFEB2,746,"[[0, 20]]",1,0.03654289245605469,87
neighbor-heuristic,False,1000,20,2,3,#06FDA3,0,0.1717978382015274,turquoise,17,random,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-24 16:50:57.042056,2017-07-24 16:50:57.565044,#0CFEB2,746,"[[0, 20]]",0,0.008719205856323242,17
